Año,Mes.n,UID_ENTRADA_CAMION.x,UID_PRODUCTOR.x,ENT_PESO_NETO.x,UID_PROVEEDOR.x,DLI_HUMEDAD.x,DLI_CENIZAS.x,DLI_CENIZASMASHUMEDAD.x,DLI_KILOCALORIAS.x,DLI_PESO_A_PAGAR.x,DLI_MEGACALORIAS.x,DLI_VALOR_TOTAL.x,DLI_REGALIAS.x,DLI_PRECIO_BASE.x,dia.x,ID,Lider.Generacion,Interventoria,Viajes,Kilos,Contratado,Pagado,ONI,IPC,Variacion.Mensual....,Produccion.nacional,Minería,Industria,Oferta.Interna,Minería.1,Industria.1,Producidos.para.Consumo.Interno,Importados,Exportados,Miles.de.Dólares.FOB,Toneladas.Métricas,Miles.de.Dólares.FOB.1,Toneladas.Métricas.1,Miles.de.Dólares.FOB.2,Toneladas.Métricas.2,Unión.Europea,Canadá..NAFTA.,Estados.Unidos..NAFTA.,México..NAFTA.,China,Japón,India,LIBOR,Promedio.mes
2008,11,861.5,215.9138,15085,122.2759,6.107414,10.460517,16.56793,6478.62069,15.233881,98753.49,1097261,47547.92,70000,28,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1325.7869,180.3852,15467.79,121.5574,9.544836,15.71,25.25484,5763.983607,15.135443,87349.55,968479,48754.46,69888.11,25,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,776,231.2581,15701.94,120.5484,6.17871,10.186452,16.36516,6444.580645,15.860852,102162.85,1135142.8,49492.5,70000,26,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1194.0857,219.7143,14392.29,120.1143,8.643143,18.647857,27.291,5723.966,13.434853,77583.56,855983.7,45364.48,69610,13,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1564.0769,202.1282,17385.64,116.2564,6.555641,20.379744,26.93538,5785.214872,16.818972,96371.35,1046901.1,54799.54,68833.33,6,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,929.5,188.9359,18526.92,121.3333,4.964615,11.641282,16.6059,6569.74359,18.700541,122900.16,1365557.4,58396.86,70000,29,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1328.3,242.6,14683,122.7,6.213,20.301,26.514,5835.163,14.22336,81805.84,890667.3,46280.82,69090,4,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1554,218.2,18484.33,112.5667,6.841333,20.929,27.77033,5737.124667,17.794123,100747.76,1087492.6,58262.62,68483.33,5,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,812,239.0976,15522.93,116.2683,6.076341,12.926098,19.00244,6269.707317,15.562215,97594.29,1084381,48928.27,70000,27,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,12,2719.4,165,15418,121,7.14,15.27,22.41,6015,15.3864,92549.15,1028323.9,43756.28,70000,27,12,ARC,JHA,4494,101209080,395256801,8085071986,0.5,102.2271,0.00044096,85.46,79.25,88.08,88.81,87.15,90.75,88.19,91.56,78.1,380503.6,5183324,1067495.1,2353677,50577.4352,10188.623,234563.9,30378.64,1184042.7,44179.8,75092.51,23228.29,68536.9129,0.014154289,2018.97
